고속국도,서울외곽선,10025,일산IC,자유로JCT,2017,1,1,0,1,1131,1119,725,455,455,665,920,1179,1422,2335,3470,4434,4731,5323,5723,6249,6254,5315,4346,3680,3810,3418,2529,1584,71272,1,low
고속국도,서울외곽선,10025,일산IC,자유로JCT,2017,1,1,0,2,1560,1014,699,489,469,555,1107,1570,2134,3071,4109,4697,4647,4656,4753,4964,5157,5168,4572,3845,3267,3045,2455,1754,69757,1,low
고속국도,서울외곽선,10025,일산IC,자유로JCT,2017,1,2,1,1,795,433,279,309,548,1908,3884,5157,5957,4778,4425,4304,4044,4227,4522,4714,4828,4990,4399,3461,2794,2565,2081,1427,76829,1,low
고속국도,서울외곽선,10025,일산IC,자유로JCT,2017,1,2,1,2,960,566,380,330,421,1085,3174,4438,5263,5308,5594,5233,4659,4604,4773,4944,5166,6022,6587,5592,4412,3542,2967,2241,88261,1,high
고속국도,서울외곽선,10025,일산IC,자유로JCT,2017,1,3,2,1,903,547,400,342,502,1346,3352,5381,6300,5215,4984,4663,4315,4357,4615,5098,5128,5513,4872,3761,3012,2754,2232,1456,81048,1,low
고속국도,서울외곽선,10025,일산IC,자유로JCT,2017,1,3,2,2,1380,897,589,468,427,973,2731,4098,5365,5213,5480,5340,4910,4668,4908,5116,5422,6089,6543,5859,4539,3779,3208,2399,90401,1,high
고속국도,서울외곽선,10025,일산IC,자유로JCT,2017,1,4,3,1,983,595,437,344,446,1060,3210,4388,5320,4952,5116,5117,4536,4578,4917,4877,5184,5085,3435,3709,3068,2778,2233,1608,77976,1,low
고속국도,서울외곽선,10025,일산IC,자유로JCT,2017,1,4,3,2,1539,928,622,465,463,949,2694,4129,5343,5357,5584,5195,4714,4695,4827,5140,5394,6241,6757,5874,4476,3761,3083,2482,90712,1,high
고속국도,서울외곽선,10025,일산IC,자유로JCT,2017,1,5,4,1,1039,637,447,343,497,1296,3277,4537,6352,5400,5097,4790,4210,4442,4899,4963,5300,5615,4800,3848,3017,2760,2331,1532,81429,1,low
고속국도,서울외곽선,10025,일산IC,자유로JCT,2017,1,5,4,2,1607,948,590,478,449,920,2699,4084,5301,5264,5488,5330,4800,4689,5081,5248,5598,6501,6595,6064,4538,3855,3285,2568,91980,1,high
고속국도,서울외곽선,10025,일산IC,자유로JCT,2017,1,6,5,1,1070,653,464,403,502,1282,3246,5321,6523,5363,5310,4640,4451,4701,4944,5069,5342,5854,4812,4453,3754,3224,2745,1865,85991,1,high
고속국도,서울외곽선,10025,일산IC,자유로JCT,2017,1,6,5,2,1592,1012,640,512,474,796,2052,3398,4157,4332,4026,4423,4222,4216,4479,4831,5289,5615,6242,5925,4645,3552,3266,2616,82312,1,low
고속국도,서울외곽선,10025,일산IC,자유로JCT,2017,1,7,6,1,774,502,416,363,479,1121,2830,4587,5587,5277,4819,5126,4131,4306,4592,4876,4633,5243,4464,3919,3424,2772,2081,1342,77664,1,low
고속국도,서울외곽선,10025,일산IC,자유로JCT,2017,1,7,6,2,1333,1257,947,663,631,977,2435,3105,3884,4624,5405,5874,5644,5338,6089,6293,6578,6796,6618,5531,4452,3606,3298,2500,93878,1,high
고속국도,서울외곽선,10025,일산IC,자유로JCT,2017,1,8,0,1,1288,759,526,418,425,725,1177,1431,1893,2847,3753,4340,4739,5002,5385,5806,5995,5510,4618,3879,3517,2951,2409,1326,70719,1,low
고속국도,서울외곽선,10025,일산IC,자유로JCT,2017,1,8,0,2,1568,1071,733,511,486,596,1216,1691,2289,3229,4255,4796,4586,4739,4763,5070,5210,5427,4746,3928,3374,3069,2446,1684,71483,1,low
고속국도,서울외곽선,10025,일산IC,자유로JCT,2017,1,9,1,1,746,409,296,288,583,1939,4040,5682,6532,5134,4666,4546,4121,4380,4716,4610,4946,5669,4844,3803,3015,2578,2114,1379,81036,1,low
